host_id,host_since,host_response_time,host_is_superhost,host_total_listings_count,host_verifications,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,occupancy_est_total,occupancy_est_ltm,revenue_est_total,revenue_est_ltm,comp_ratings,days_as_host,success,success_ltm
227796,2010-09-08,N/A,FALSE,1,8,Bukit Timah,Central Region,589664,1.33235,103.78521,Apartment,Private room,2,1,1,1,Real Bed,13,81,0,0,2,20,90,730,18,0,91,9,10,10,10,9,9,FALSE,moderate,1,0,1,0.26,1620,0,131220,0,7.4750000000000005,3366,High,Low
367042,2011-01-29,within an hour,FALSE,8,5,Tampines,East Region,488405,1.34541,103.95712,Villa,Private room,6,1,2,3,Real Bed,26,202,273,55,4,27,1,1125,15,4,84,8,8,9,9,8,8,TRUE,moderate,8,0,8,0.16,15,4,3030,808,6.8625,3223,Medium,Low
367042,2011-01-29,within an hour,FALSE,8,5,Tampines,East Region,488405,1.34567,103.95963,House,Private room,3,0.5,1,1,Real Bed,22,93,136,27,1,20,1,1125,24,4,83,8,8,9,9,8,8,TRUE,moderate,8,0,8,0.24,24,4,2232,372,6.8187500000000005,3223,Low,Low
367042,2011-01-29,within an hour,FALSE,8,5,Tampines,East Region,488405,1.34702,103.96103,House,Private room,3,0.5,1,2,Real Bed,19,102,136,27,1,20,1,1125,45,16,88,9,9,9,9,9,9,FALSE,moderate,8,0,8,0.43,45,16,4590,1632,7.2124999999999995,3223,Medium,Medium
367042,2011-01-29,within an hour,FALSE,8,5,Tampines,East Region,488405,1.34348,103.96337,House,Private room,6,1,1,7,Real Bed,20,205,273,68,4,34,1,365,26,5,82,9,8,9,9,8,8,TRUE,strict_14_with_grace_period,8,0,8,0.25,26,5,5330,1025,6.8187500000000005,3223,Medium,Low
1439258,2011-11-24,within a few hours,FALSE,33,8,Bukit Merah,Central Region,150037,1.28837,103.81099,Apartment,Private room,1,0,1,1,Real Bed,15,40,250,65,1,0,30,100,10,0,98,10,10,10,10,9,9,TRUE,moderate,33,0,31,0.11,300,0,12000,0,7.825,2924,Medium,Low
1521514,2011-12-20,within a few hours,FALSE,6,7,Newton,Central Region,229117,1.31125,103.83816,Apartment,Private room,2,1,1,1,Real Bed,28,64,148,41,1,15,2,720,131,16,89,9,9,9,10,9,9,FALSE,moderate,6,0,6,1.37,262,32,16768,2048,7.3,2898,High,Medium
1552002,2011-12-31,within a day,FALSE,1,5,Geylang,Central Region,307821,1.31724,103.88958,Apartment,Private room,1,1,1,1,Real Bed,16,40,150,0,1,0,1,1125,103,29,90,9,9,10,9,10,9,FALSE,moderate,1,0,1,1.39,103,29,4120,1160,7.3875,2887,Medium,Medium
1439258,2011-11-24,within a few hours,FALSE,33,8,Bukit Merah,Central Region,150037,1.28976,103.80896,Apartment,Private room,1,0,1,1,Real Bed,13,45,200,55,1,0,60,180,14,2,84,8,9,9,9,8,8,TRUE,moderate,33,0,31,0.16,840,120,37800,5400,6.90625,2924,High,Medium
1439258,2011-11-24,within a few hours,FALSE,33,8,Bukit Merah,Central Region,150037,1.28677,103.81244,Apartment,Private room,1,2,0,1,Real Bed,16,40,150,65,1,0,60,180,10,2,93,9,9,10,10,9,9,TRUE,moderate,33,0,31,0.14,600,120,24000,4800,7.51875,2924,High,Medium
